99.99660	129.99740	99.99610	3000.00000
96.23660	129.76084	99.99610	376.74312
92.53590	129.05489	99.99610	376.74312
88.95286	127.89069	99.99610	376.74312
85.54399	126.28660	99.99610	376.74312
82.36304	124.26791	99.99610	376.74312
79.46019	121.86646	99.99610	376.74312
76.88120	119.12012	99.99610	376.74312
74.66676	116.07220	99.99610	376.74312
72.85179	112.77078	99.99610	376.74312
71.46490	109.26791	99.99610	376.74312
70.52798	105.61884	99.99610	376.74312
75.29544	101.55147	99.99610	525.00000
80.53508	98.77298	99.99610	244.88303
85.99901	97.32722	99.99610	178.95298
91.43709	97.21625	99.99610	113.02294
96.60350	98.40073	99.99610	47.09289
101.26309	100.80114	99.99610	-18.83716
105.19756	104.30001	99.99610	-84.76720
108.21117	108.74502	99.99610	-150.69725
110.13590	113.95294	99.99610	-216.62729
110.83606	119.71430	99.99610	-282.55734
110.21206	125.79870	99.99610	-348.48738
108.20337	131.96064	99.99610	-414.41743
105.44860	143.15439	99.99610	525.00000
99.99660	153.99740	99.99610	-678.13761
91.91261	163.98880	99.99610	-809.99770
81.34486	172.64114	99.99610	-941.85779
68.52195	179.49329	99.99610	-1073.71788
53.74825	184.12284	99.99610	-1205.57797
37.39747	186.15771	99.99610	-1337.43807
19.90459	185.28673	99.99610	-1469.29816
1.75616	181.26896	99.99610	-1601.15825
-16.52065	173.94150	99.99610	-1733.01834
-34.37022	163.22562	99.99610	-1864.87843
-51.22139	149.13110	99.99610	-1996.73852
-71.65810	132.74228	99.99610	525.00000
-90.12749	111.95899	99.99610	-2392.31879
-105.84641	87.04686	99.99610	-2590.10893
-118.07117	58.39875	99.99610	-2787.89907
-126.11709	26.52861	99.99610	-2985.68920
-129.37706	-7.93765	99.99610	-3183.47934
-127.33869	-44.27396	99.99610	-3381.26948
-119.59967	-81.66844	99.99610	-3579.05961
-105.88094	-119.23991	99.99610	-3776.84975
-86.03743	-156.05648	99.99610	-3974.63989
-60.06606	-191.15549	99.99610	-4172.43002
-28.11074	-223.56482	99.99610	-4370.22016
9.53565	-252.32472	99.99610	-4568.01030
52.43264	-276.51013	99.99610	-4765.80043
99.99660	-295.25260	99.99610	-4963.59057
