9.848			1.736
9.720			2.351
9.553			2.957
9.348			3.551
9.107			4.131
8.829			4.695
8.517			5.240
8.171			5.764
7.793			6.266
7.385			6.743
6.947			7.193
6.481			7.615
5.990			8.007
5.476			8.368
4.939			8.695
4.384			8.988
3.811			9.245
3.223			9.466
2.622			9.650
2.011			9.796
1.392			9.903
0.767			9.971
0.140			9.999
-0.488			9.988
-1.115			9.938
-1.736			9.848
-2.351			9.720
-2.957			9.553
-3.551			9.348
-4.131			9.107
-4.695			8.829
-5.240			8.517
-5.764			8.171
-6.266			7.793
-6.743			7.385
-7.193			6.947
-7.615			6.481
-8.007			5.990
-8.368			5.476
-8.695			4.939
-8.988			4.384
-9.245			3.811
-9.466			3.223
-9.650			2.622
-9.796			2.011
-9.903			1.392
-9.971			0.767
-9.999			0.140
-9.988			-0.488
-9.938			-1.115
-9.848			-1.736
-9.720			-2.351
-9.553			-2.957
-9.348			-3.551
-9.107			-4.131
-8.829			-4.695
-8.517			-5.240
-8.171			-5.764
-7.793			-6.266
-7.385			-6.743
-6.947			-7.193
-6.481			-7.615
-5.990			-8.007
-5.476			-8.368
-4.939			-8.695
-4.384			-8.988
-3.811			-9.245
-3.223			-9.466
-2.622			-9.650
-2.011			-9.796
-1.392			-9.903
-0.767			-9.971
-0.140			-9.999
0.488			-9.988
1.115			-9.938
1.736			-9.848
2.351			-9.720
2.957			-9.553
3.551			-9.348
4.131			-9.107
4.695			-8.829
5.240			-8.517
5.764			-8.171
6.266			-7.793
6.743			-7.385
7.193			-6.947
7.615			-6.481
8.007			-5.990
8.368			-5.476
8.695			-4.939
8.988			-4.384
9.245			-3.811
9.466			-3.223
9.650			-2.622
9.796			-2.011
9.903			-1.392
9.971			-0.767
9.999			-0.140
9.988			0.488
9.938			1.115
9.848			1.736
